Code,Description,Units,Field Width,Decimal Places
412E,Irradiance 412nm,uW/cm**2/nm,10,5
412E,Irradiance 412nm,uW/cm**2/nm,13,5
412ESDEV,Irradiance 412nm standard deviation,uW/cm**2/nm,10,5
412ESDEV,Irradiance 412nm standard deviation,uW/cm**2/nm,13,5
412L,Radiance 412nm,uW/cm**2/nm/sr,10,5
412L,Radiance 412nm,uW/cm**2/nm/sr,13,5
412LSDEV,Radiance 412nm standard deviation,uW/cm**2/nm/sr,10,5
412LSDEV,Radiance 412nm standard deviation,uW/cm**2/nm/sr,13,5
443E,Irradiance 443nm,uW/cm**2/nm,10,5
443E,Irradiance 443nm,uW/cm**2/nm,13,5
443ESDEV,Irradiance 443nm standard deviation,uW/cm**2/nm,10,5
443ESDEV,Irradiance 443nm standard deviation,uW/cm**2/nm,13,5
443L,Radiance 443nm,uW/cm**2/nm/sr,10,5
443L,Radiance 443nm,uW/cm**2/nm/sr,13,5
443LSDEV,Radiance 443nm standard deviation,uW/cm**2/nm/sr,10,5
443LSDEV,Radiance 443nm standard deviation,uW/cm**2/nm/sr,13,5
490E,Irradiance 490nm,uW/cm**2/nm,10,5
490E,Irradiance 490nm,uW/cm**2/nm,13,5
490ESDEV,Irradiance 490nm standard deviation,uW/cm**2/nm,10,5
490ESDEV,Irradiance 490nm standard deviation,uW/cm**2/nm,13,5
490L,Radiance 490nm,uW/cm**2/nm/sr,10,5
490L,Radiance 490nm,uW/cm**2/nm/sr,13,5
490LSDEV,Radiance 490nm standard deviation,uW/cm**2/nm/sr,10,5
490LSDEV,Radiance 490nm standard deviation,uW/cm**2/nm/sr,13,5
510E,Irradiance 510nm,uW/cm**2/nm,10,5
510E,Irradiance 510nm,uW/cm**2/nm,13,5
510ESDEV,Irradiance 510nm standard deviation,uW/cm**2/nm,10,5
510ESDEV,Irradiance 510nm standard deviation,uW/cm**2/nm,13,5
510L,Radiance 510nm,uW/cm**2/nm/sr,10,5
510L,Radiance 510nm,uW/cm**2/nm/sr,13,5
510LSDEV,Radiance 510nm standard deviation,uW/cm**2/nm/sr,10,5
510LSDEV,Radiance 510nm standard deviation,uW/cm**2/nm/sr,13,5
555E,Irradiance 555nm,uW/cm**2/nm,10,5
555E,Irradiance 555nm,uW/cm**2/nm,13,5
555ESDEV,Irradiance 555nm standard deviation,uW/cm**2/nm,10,5
555ESDEV,Irradiance 555nm standard deviation,uW/cm**2/nm,13,5
555L,Radiance 555nm,uW/cm**2/nm/sr,10,5
555L,Radiance 555nm,uW/cm**2/nm/sr,13,5
555LSDEV,Radiance 555nm standard deviation,uW/cm**2/nm/sr,10,5
555LSDEV,Radiance 555nm standard deviation,uW/cm**2/nm/sr,13,5
669E,Irradiance 669nm,uW/cm**2/nm,10,5
669E,Irradiance 669nm,uW/cm**2/nm,13,5
669ESDEV,Irradiance 669nm standard deviation,uW/cm**2/nm,10,5
669ESDEV,Irradiance 669nm standard deviation,uW/cm**2/nm,13,5
669L,Radiance 669nm,uW/cm**2/nm/sr,10,5
669L,Radiance 669nm,uW/cm**2/nm/sr,13,5
669LSDEV,Radiance 669nm standard deviation,uW/cm**2/nm/sr,10,5
669LSDEV,Radiance 669nm standard deviation,uW/cm**2/nm/sr,13,5
683E,Irradiance 683nm,uW/cm**2/nm,10,5
683E,Irradiance 683nm,uW/cm**2/nm,13,5
683ESDEV,Irradiance 683nm standard deviation,uW/cm**2/nm,10,5
683ESDEV,Irradiance 683nm standard deviation,uW/cm**2/nm,13,5
683L,Radiance 683nm,uW/cm**2/nm/sr,10,5
683L,Radiance 683nm,uW/cm**2/nm/sr,13,5
683LSDEV,Radiance 683nm standard deviation,uW/cm**2/nm/sr,10,5
683LSDEV,Radiance 683nm standard deviation,uW/cm**2/nm/sr,13,5
ABSH,Absolute Humidity,g/m**3,10,3
ALKY,Total Alkalinity,mmol/m**3,10,3
ALPO,Alpha - 0,m**3/kg,10,3
ALTB,Height/Altitude above Bottom,metres,10,2
ALTS,Height/Altitude above Mean Sea Level,metres,10,3
AMON,Ammonium (NH4-N) Content,mmol/m**3,10,3
ATMP,Atmospheric pressure,hPa,10,2
ATMS,Atmospheric Pressure at Sea Level,hpa,10,3
ATP_,Adenosine Triphosphate content,mg/m**3,10,5
ATRK,Along Track Displacement,metres,10,3
ATTU,Attenuance (ADCP),/m,10,3
AUTH,Authority,none,50,-99
BAC_,Bacteria Counts,10**6/L,10,3
BATH,Bathymetric Depth,metres,10,3
BATT,Battery Voltage,volts,10,3
BEAM,ADCP Echo Intensity,none,6,1
BIOV,Organism Volume,mL,8,3
BNO7,Best NODC7 number,none,12,0
CALK,Carbonate Alkalinity,mmol/m**3,10,3
